time, yaw, pos, vel
23878144, -0.111841, 1.736478, 0.000000
23878154, -0.108193, 1.735661, -0.040863
23878164, -0.108193, 1.735661, -0.040863
23878174, -0.108193, 1.735661, 0.000000
23878184, -0.107512, 1.735507, -0.007705
23878194, -0.107512, 1.735507, -0.007705
23878204, -0.107512, 1.735507, 0.000000
23878214, -0.105313, 1.735006, -0.025064
23878224, -0.105313, 1.735006, -0.025064
23878234, -0.105313, 1.735006, 0.000000
23878244, -0.104214, 1.734753, -0.012630
23878254, -0.104214, 1.734753, -0.012630
23878264, -0.104214, 1.734753, 0.000000
23878274, -0.104283, 1.734769, 0.000804
23878284, -0.104283, 1.734769, 0.000804
23878294, -0.104283, 1.734769, 0.000000
23878304, -0.104423, 1.734801, 0.001607
23878314, -0.104423, 1.734801, 0.001607
23878324, -0.104423, 1.734801, 0.000000
23878334, -0.104283, 1.734769, -0.001607
23878344, -0.104283, 1.734769, -0.001607
23878354, -0.104283, 1.734769, 0.000000
23878364, -0.103847, 1.734668, -0.005029
23878374, -0.103847, 1.734668, -0.005029
23878384, -0.103847, 1.734668, 0.000000
23878394, -0.102590, 1.734378, -0.014540
23878404, -0.102590, 1.734378, -0.014540
23878414, -0.102590, 1.734378, 0.000000
23878424, -0.100740, 1.733946, -0.021562
23878434, -0.100740, 1.733946, -0.021562
23878444, -0.100740, 1.733946, 0.000000
23878454, -0.098838, 1.733499, -0.022367
23878464, -0.098838, 1.733499, -0.022367
23878474, -0.098838, 1.733499, 0.000000
23878484, -0.097424, 1.733164, -0.016750
23878494, -0.097424, 1.733164, -0.016750
23878504, -0.097424, 1.733164, 0.000000
23878514, -0.095539, 1.732714, -0.022503
23878524, -0.095539, 1.732714, -0.022503
23878534, -0.092310, 1.731934, -0.038999
23878544, -0.092310, 1.731934, -0.038999
23878554, -0.092310, 1.731934, 0.000000
23878564, -0.092310, 1.731934, 0.000000
23878574, -0.089850, 1.731332, -0.030109
23878584, -0.089850, 1.731332, -0.030109
23878594, -0.088034, 1.730883, -0.022422
23878604, -0.088034, 1.730883, -0.022422
23878614, -0.088034, 1.730883, 0.000000
23878624, -0.086795, 1.730575, -0.015412
23878634, -0.086795, 1.730575, -0.015412
23878644, -0.086795, 1.730575, 0.000000
23878654, -0.085591, 1.730274, -0.015059
23878664, -0.085591, 1.730274, -0.015059
23878674, -0.085591, 1.730274, 0.000000
23878684, -0.085591, 1.730274, 0.000000
23878694, -0.085678, 1.730296, 0.001094
23878704, -0.085678, 1.730296, 0.001094
23878714, -0.085678, 1.730296, 0.000000
23878724, -0.086219, 1.730431, 0.006773
23878734, -0.086219, 1.730431, 0.006773
23878744, -0.086219, 1.730431, 0.000000
23878754, -0.086010, 1.730379, -0.002620
23878764, -0.086010, 1.730379, -0.002620
23878774, -0.086010, 1.730379, 0.000000
23878784, -0.086045, 1.730388, 0.000437
23878794, -0.086045, 1.730388, 0.000437
23878804, -0.086045, 1.730388, 0.000000
23878814, -0.086446, 1.730488, 0.005019
23878824, -0.086446, 1.730488, 0.005019
23878834, -0.086446, 1.730488, 0.000000
23878844, -0.086429, 1.730484, -0.000218
23878854, -0.086429, 1.730484, -0.000218
23878864, -0.086429, 1.730484, 0.000000
23878874, -0.086516, 1.730505, 0.001090
23878884, -0.086516, 1.730505, 0.001090
23878894, -0.086516, 1.730505, 0.000000
23878904, -0.086813, 1.730580, 0.003702
23878914, -0.086813, 1.730580, 0.003702
23878924, -0.086813, 1.730580, 0.000000
23878934, -0.086743, 1.730562, -0.000871
23878944, -0.086743, 1.730562, -0.000871
23878954, -0.086743, 1.730562, 0.000000
23878964, -0.086568, 1.730519, -0.002178
23878974, -0.086568, 1.730519, -0.002178
23878984, -0.086568, 1.730519, 0.000000
23878994, -0.086376, 1.730471, -0.002398
23879004, -0.086376, 1.730471, -0.002398
23879014, -0.086376, 1.730471, 0.000000
23879024, -0.086149, 1.730414, -0.002836
23879034, -0.086149, 1.730414, -0.002836
23879044, -0.086149, 1.730414, 0.000000
23879054, -0.085678, 1.730296, -0.005900
23879064, -0.085678, 1.730296, -0.005900
23879074, -0.085678, 1.730296, 0.000000
23879084, -0.085486, 1.730248, -0.002407
23879094, -0.085486, 1.730248, -0.002407
