time, tics, freq
9.0356,3107,0.002
9.0398,3112,0.002
9.0398,3112,0.002
9.044,3118,0.002
9.044,3118,0.002
9.0483,3124,0.002
9.0652,3145,0.002
9.0652,3145,0.002
9.0694,3150,0.002
9.0822,3166,0.002
9.0822,3166,0.002
9.09,3176,0.002
9.09,3177,0.002
9.0949,3180,0.002
9.0949,3180,0.002
9.1034,3192,0.002
9.1076,3198,0.002
9.1118,3203,0.002
9.1161,3208,0.002
9.1245,3218,0.002
9.1245,3218,0.002
9.133,3229,0.002
9.133,3230,0.002
9.1415,3237,0.002
9.1457,3242,0.002
9.15,3248,0.002
9.15,3248,0.002
9.15,3253,0.002
9.15,3253,0.002
9.15,3254,0.002
9.15,3257,0.002
9.1542,3253,0.002
9.158,3258,0.002
9.158,3259,0.002
9.171,3273,0.002
9.171,3273,0.002
9.171,3273,0.002
9.171,3273,0.002
9.171,3274,0.002
9.171,3274,0.002
9.1754,3278,0.002
9.1838,3288,0.002
9.1838,3288,0.002
9.1881,3294,0.002
9.1881,3294,0.002
9.1923,3298,0.002
9.1923,3298,0.002
9.1966,3303,0.002
9.1966,3303,0.002
9.2008,3309,0.002
9.2008,3309,0.002
9.205,3313,0.002
9.205,3313,0.002
9.205,3314,0.002
9.205,3314,0.002
9.2093,3317,0.002
9.2093,3317,0.002
9.2135,3322,0.002
9.2177,3327,0.002
9.2177,3327,0.002
9.222,3333,0.002
9.222,3334,0.002
9.2389,3352,0.002
9.2432,3358,0.002
9.2432,3358,0.002
9.2516,3368,0.002
9.2516,3368,0.002
9.2559,3373,0.002
9.2559,3373,0.002
9.2601,3378,0.002
9.2728,3393,0.002
9.2728,3393,0.002
9.277,3398,0.002
9.277,3398,0.002
9.277,3398,0.002
9.277,3399,0.002
9.281,3403,0.002
9.2855,3408,0.002
9.2897,3413,0.002
9.2982,3421,0.002
9.3024,3425,0.002
9.3194,3444,0.002
9.3236,3449,0.002
9.3279,3454,0.002
9.3321,3459,0.002
9.3321,3459,0.002
9.3363,3463,0.002
9.3406,3469,0.002
9.3448,3474,0.002
9.349,3479,0.002
9.349,3479,0.002
9.3533,3484,0.002
9.3533,3484,0.002
9.3575,3488,0.002
9.3618,3493,0.002
9.3618,3493,0.002
9.366,3500,0.002
9.3702,3503,0.002
9.3829,3517,0.002
9.3872,3522,0.002
9.3872,3522,0.002
9.391,3527,0.002
9.391,3527,0.002
9.3956,3533,0.002
9.3956,3533,0.002
9.4083,3548,0.002
9.4083,3548,0.002
9.4168,3558,0.002
9.4168,3558,0.002
9.4211,3562,0.002
9.4211,3562,0.002
9.4253,3567,0.002
9.4253,3567,0.002
9.4381,3584,0.002
9.4423,3589,0.002
9.4423,3589,0.002
9.4466,3593,0.002
9.4466,3593,0.002
9.4508,3598,0.002
9.4508,3598,0.002
9.455,3603,0.002
9.455,3603,0.002
9.455,3604,0.002
9.459,3606,0.002
9.463,3611,0.002
9.4678,3617,0.002
9.472,3623,0.002
9.472,3623,0.002
9.472,3623,0.002
9.472,3624,0.002
9.4847,3638,0.002
9.4847,3638,0.002
9.489,3643,0.002
9.489,3644,0.002
9.4932,3648,0.002
9.4932,3648,0.002
9.4974,3654,0.002
9.4974,3654,0.002
9.5017,3659,0.002
9.5017,3659,0.002
9.5059,3664,0.002
9.5059,3664,0.002
9.5144,3675,0.002
9.5144,3675,0.002
9.5186,3680,0.002
9.5186,3680,0.002
9.527,3690,0.002
9.527,3691,0.002
9.5313,3695,0.002
9.544,3711,0.002
9.544,3711,0.002
9.544,3712,0.002
9.5567619999999,3727,0.002
9.5609,3731,0.002
9.5609,3731,0.002
9.5694,3742,0.002
9.5694,3742,0.002
9.5737,3747,0.002
9.5779,3753,0.002
9.5779,3753,0.002
9.586,3761,0.002
9.586,3761,0.002
9.586,3762,0.002
9.5907,3768,0.002
9.5949,3773,0.002
9.5949,3773,0.002
9.6034,3782,0.002
9.6034,3782,0.002
9.6076,3788,0.002
9.6161,3800,0.002
9.6203,3804,0.002
9.6245,3809,0.002
9.6288,3814,0.002
9.633,3820,0.002
9.6372,3825,0.002
9.6372,3825,0.002
9.6415,3830,0.002
9.6457,3835,0.002
9.6542,3845,0.002
9.6542,3845,0.002
9.666,3860,0.002
9.6711,3867,0.002
9.6796,3877,0.002
9.6838,3882,0.002
9.6881,3886,0.002
9.6881,3886,0.002
9.6923,3892,0.002
9.705,3907,0.002
9.705,3907,0.002
9.7135,3918,0.002
9.7177,3923,0.002
9.7177,3923,0.002
9.7262,3932,0.002
9.7262,3932,0.002
9.7304,3938,0.002
9.7304,3938,0.002
9.7347,3943,0.002
9.7389,3949,0.002
9.7389,3949,0.002
9.7432,3954,0.002
9.7432,3954,0.002
9.7559,3969,0.002
9.7559,3969,0.002
9.7601,3973,0.002
9.7601,3973,0.002
9.7643,3979,0.002
9.7643,3979,0.002
9.7728,3991,0.002
9.7728,3991,0.002
9.777,3996,0.002
9.777,3996,0.002
9.777,3997,0.002
9.777,3997,0.002
9.7813,4001,0.002
9.7813,4001,0.002
9.7898,4012,0.002
9.7898,4012,0.002
9.7982,4022,0.002
9.8025,4027,0.002
9.8109,4038,0.002
9.8109,4038,0.002
9.8152,4043,0.002
9.8237,4053,0.002
9.866,4068,0.002
9.866,4068,0.002
9.866,4068,0.002
9.8702,4073,0.002
9.8745,4078,0.002
9.8745,4078,0.002
9.8787,4084,0.002
9.8787,4084,0.002
9.8829,4090,0.002
9.8914,4100,0.002
9.8956,4105,0.002
9.8999,4110,0.002
9.9041,4116,0.002
9.9041,4116,0.002
9.9126,4126,0.002
9.9168,4130,0.002
9.9338,4152,0.002
9.9338,4152,0.002
9.938,4158,0.002
9.938,4158,0.002
9.9422,4162,0.002
9.9422,4162,0.002
9.9465,4167,0.002
9.9507,4172,0.002
9.9507,4172,0.002
9.955,4177,0.002
9.955,4177,0.002
9.955,4177,0.002
9.955,4178,0.002
9.9634,4187,0.002
9.9677,4193,0.002
9.9719,4197,0.002
9.9804,4208,0.002
9.9804,4208,0.002
9.9888,4218,0.002
9.993,4222,0.002
9.993,4223,0.002
10.0058,4238,0.002
10.0058,4238,0.002
10.01,4243,0.002
10.01,4243,0.002
10.01,4244,0.002
10.01,4249,0.002
10.0142,4248,0.002
10.0142,4248,0.002
10.018,4252,0.002
10.0269,4262,0.002
10.0312,4268,0.002
10.0312,4268,0.002
10.043,4281,0.002
10.043,4281,0.002
10.043,4281,0.002
10.043,4281,0.002
10.0566,4295,0.002
10.0608,4300,0.002
10.0608,4300,0.002
10.065,4305,0.002
10.065,4305,0.002
10.0778,4319,0.002
10.0778,4319,0.002
10.082,4323,0.002
10.082,4324,0.002
10.0862,4329,0.002
10.0862,4329,0.002
10.0905,4334,0.002
10.0905,4334,0.002
10.0947,4339,0.002
10.099,4343,0.002
10.099,4344,0.002
10.099,4344,0.002
10.1032,4348,0.002
10.1032,4348,0.002
10.107,4351,0.002
10.107,4351,0.002
10.1201,4368,0.002
10.1286,4376,0.002
10.1286,4376,0.002
10.1328,4381,0.002
10.1371,4386,0.002
10.1371,4386,0.002
10.1413,4391,0.002
10.1413,4391,0.002
10.1456,4396,0.002
10.1583,4411,0.002
10.1583,4411,0.002
10.1625,4415,0.002
10.1625,4415,0.002
10.1667,4420,0.002
10.171,4425,0.002
10.171,4425,0.002
10.171,4425,0.002
10.171,4426,0.002
10.1752,4430,0.002
10.1837,4440,0.002
10.188,4445,0.002
10.188,4445,0.002
10.1922,4449,0.002
10.1964,4454,0.002
10.1964,4454,0.002
10.2,4458,0.002
10.2,4468,0.002
10.204,4463,0.002
10.204,4463,0.002
10.204,4464,0.002
10.2091,4469,0.002
10.217,4479,0.002
10.2219,4485,0.002
10.2219,4485,0.002
10.2261,4491,0.002
10.2261,4491,0.002
